pdf_url,question,politician,lastname,firstname
http://interactive.guim.co.uk/australia/2015/jan/46_Kean_Matt.pdf,"Transcribe the register of interests for Kean, Matt","Kean, Matt",Kean,Matt
http://interactive.guim.co.uk/australia/2015/jan/47_Lalich_Nick.pdf,"Transcribe the register of interests for Lalich, Nick","Lalich, Nick",Lalich,Nick
http://interactive.guim.co.uk/australia/2015/jan/48_Lee_Geoff.pdf,"Transcribe the register of interests for Lee, Geoff","Lee, Geoff",Lee,Geoff
http://interactive.guim.co.uk/australia/2015/jan/49_Lynch_Paul.pdf,"Transcribe the register of interests for Lynch, Paul","Lynch, Paul",Lynch,Paul
http://interactive.guim.co.uk/australia/2015/jan/4_Baird_Mike.pdf,"Transcribe the register of interests for Baird, Mike","Baird, Mike",Baird,Mike
http://interactive.guim.co.uk/australia/2015/jan/50_Maguire_Daryl.pdf,"Transcribe the register of interests for Maguire, Daryl","Maguire, Daryl",Maguire,Daryl
http://interactive.guim.co.uk/australia/2015/jan/51_Marshall_Adam.pdf,"Transcribe the register of interests for Marshall, Adam","Marshall, Adam",Marshall,Adam
http://interactive.guim.co.uk/australia/2015/jan/52_McDonald_Andrew.pdf,"Transcribe the register of interests for McDonald, Andrew","McDonald, Andrew",McDonald,Andrew
http://interactive.guim.co.uk/australia/2015/jan/53_Mihailuk_Tania.pdf,"Transcribe the register of interests for Mihailuk, Tania","Mihailuk, Tania",Mihailuk,Tania
http://interactive.guim.co.uk/australia/2015/jan/54_Notley-Smith_Bruce.pdf,"Transcribe the register of interests for Notley-Smith, Bruce","Notley-Smith, Bruce",Notley-Smith,Bruce
http://interactive.guim.co.uk/australia/2015/jan/55_O'Dea_Jonathan.pdf,"Transcribe the register of interests for O'Dea, Jonathan","O'Dea, Jonathan",O'Dea,Jonathan
http://interactive.guim.co.uk/australia/2015/jan/56_O'Farrell_Barry.pdf,"Transcribe the register of interests for O'Farrell, Barry","O'Farrell, Barry",O'Farrell,Barry
http://interactive.guim.co.uk/australia/2015/jan/57_Owen_Timothy.pdf,"Transcribe the register of interests for Owen, Timothy","Owen, Timothy",Owen,Timothy
http://interactive.guim.co.uk/australia/2015/jan/58_Page_Donald.pdf,"Transcribe the register of interests for Page, Donald","Page, Donald",Page,Donald
http://interactive.guim.co.uk/australia/2015/jan/59_Park_Ryan.pdf,"Transcribe the register of interests for Park, Ryan","Park, Ryan",Park,Ryan
http://interactive.guim.co.uk/australia/2015/jan/5_Barilaro_John.pdf,"Transcribe the register of interests for Barilaro, John","Barilaro, John",Barilaro,John
http://interactive.guim.co.uk/australia/2015/jan/60_Parker_Jamie.pdf,"Transcribe the register of interests for Parker, Jamie","Parker, Jamie",Parker,Jamie
http://interactive.guim.co.uk/australia/2015/jan/61_Parker_Robyn.pdf,"Transcribe the register of interests for Parker, Robyn","Parker, Robyn",Parker,Robyn
http://interactive.guim.co.uk/australia/2015/jan/62_Patterson_Chris.pdf,"Transcribe the register of interests for Patterson, Chris","Patterson, Chris",Patterson,Chris
